Location,Name,Chain
India,India,India
Andhra_Pradesh,Andhra Pradesh,Andhra_Pradesh:Southern:India
Arunachal_Pradesh,Arunachal Pradesh,Arunachal_Pradesh:North_Eastern_States:Northeastern:India
Assam,Assam,Assam:North_Eastern_States:Northeastern:India
Bihar,Bihar,Bihar:Eastern:India
Chandigarh,Chandigarh,Chandigarh:Punjab:Northern:India
Chhattisgarh,Chhattisgarh,Chhattisgarh:Central:India
Delhi,Delhi,Delhi:Northern:India
Gujarat,Gujarat,Gujarat:Western:India
Haryana,Haryana,Haryana:Northern:India
Himachal_Pradesh,Himachal Pradesh,Himachal_Pradesh:HP_UK_JK:Northern:India
Jammu_and_Kashmir,Jammu & Kashmir,Jammu_and_Kashmir:HP_UK_JK:Northern:India
Jharkhand,Jharkhand,Jharkhand:Eastern:India
Karnataka,Karnataka,Karnataka:Southern:India
Kerala,Kerala,Kerala:Southern:India
Madhya_Pradesh,Madhya Pradesh,Madhya_Pradesh:Central:India
Maharashtra,Maharashtra,Maharashtra:Western:India
Manipur,Manipur,Manipur:North_Eastern_States:Northeastern:India
Meghalaya,Meghalaya,Meghalaya:North_Eastern_States:Northeastern:India
Nagaland,Nagaland,Nagaland:North_Eastern_States:Northeastern:India
Odisha,Odisha,Odisha:Eastern:India
Punjab,Punjab,Punjab:Northern:India
Rajasthan,Rajasthan,Rajasthan:Northern:India
Tamil_Nadu,Tamil Nadu,Tamil_Nadu:Southern:India
Telangana,Telangana,Telangana:Southern:India
Uttar_Pradesh,Uttar Pradesh,Uttar_Pradesh:Northern:India
Uttarakhand,Uttarakhand,Uttarakhand:HP_UK_JK:Northern:India
West_Bengal,West Bengal,West_Bengal:Eastern:India
