Location,EndDie,EndLTFU,EndSelfCure,EndTxSucc
Andhra_Pradesh,0.13791680474972087,0.0344401791073595,0.1885840931998688,0.6390589229430508
Arunachal_Pradesh,0.0947471885751544,0.20821777210993828,0.1405211874831704,0.556513851831737
Assam,0.13582805082130286,0.12903725311741754,0.19739746976494962,0.5377372262963299
Bihar,0.13121834283600026,0.2054069560254032,0.2105892655975904,0.45278543554100614
Chandigarh,0.12650470348727744,0.16923110388900006,0.1792694117354998,0.5249947808882227
Chhattisgarh,0.1536228235804408,0.07608205438202689,0.2959548894649656,0.4743402325725667
Delhi,0.14870853153097172,0.2249029573063888,0.26753960605632143,0.35884890510631806
Gujarat,0.08815791242276669,0.12515032283047497,0.08326016559886647,0.7034315991478919
Haryana,0.14161806524642895,0.13353439389141122,0.20659757840668116,0.5182499624554786
Himachal_Pradesh,0.1242099015962029,0.09640298368130099,0.1537631303515748,0.6256239843709213
India,0.1334788265669046,0.13999144059691274,0.1928723696220207,0.5336573632141619
Jammu_and_Kashmir,0.1059050430887392,0.239446799557749,0.15578608738475266,0.4988620699687591
Jharkhand,0.10523650287374593,0.19459588148446472,0.1738269877995672,0.5263406278422221
Karnataka,0.16779221859777535,0.11938891409165536,0.1964400592888625,0.5163788080217068
Kerala,0.10812015185347884,0.10766137539333566,0.10707900277906111,0.6771394699741243
Madhya_Pradesh,0.09750792905383852,0.18972407652383974,0.15937968196849217,0.5533883124538296
Maharashtra,0.1108309876984653,0.17650515850756926,0.13184069271013654,0.5808231610838288
Manipur,0.1621919547471091,0.15307650054425231,0.2763076410443662,0.40842390366427234
Meghalaya,0.1297091116533692,0.17792052194014374,0.18171399142553007,0.510656374980957
Nagaland,0.09418834141532796,0.1759984851277808,0.14298781368635624,0.586825359770535
Odisha,0.14388640704648106,0.143616034683983,0.21734858202560758,0.49514897624392834
Punjab,0.11111280392406081,0.12195880759131603,0.16547845890981866,0.6014499295748045
Rajasthan,0.13496128256127357,0.15819788650002947,0.18838897616452713,0.5184518547741699
Tamil_Nadu,0.16838761069512842,0.10287820355772785,0.21095872800006105,0.5177754577470827
Telangana,0.14667221544603767,0.05469109067802105,0.19255718337628044,0.6060795104996608
Uttar_Pradesh,0.12764307039412498,0.17291575909249093,0.1813751477214421,0.518066022791942
Uttarakhand,0.11646196405615478,0.09062339963267177,0.1554501023984011,0.6374645339127724
West_Bengal,0.12537416896436676,0.15180036186078583,0.1658431447724485,0.5569823244023989
