"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"ppm",0.75988297287502,0.00422168383317023,0.164866049693145,0.391448634475075,0.653833746651003,0.785056184008893,0.896195916366256,0.988148134600291,1525.07447845956,1.00033640397841
"p_txi_pri",0.684685778161485,0.00195192963504729,0.11073404800858,0.50934522509324,0.589295529968839,0.680020133224475,0.779879298720472,0.873735756327046,3218.35566666128,1.00020028045688
"ppv_eng",0.597998876654109,0.00283410445405118,0.124829736455009,0.347175576667186,0.514260031022743,0.59474405526286,0.678767056248068,0.849926302583567,1940.01193626778,1.00048419090389
"ppv_pri",0.381945975037346,0.00249296205940703,0.128218171439873,0.208383146012614,0.277610136392469,0.362723327539495,0.461686393003864,0.674100332206966,2645.25668124829,1.0013757168608
"dur_pri",1.17474006631404,0.00993100179549785,0.334481594965645,0.57727861869304,0.946191772878274,1.13749377243903,1.38788463894936,1.89026618327907,1134.37939703923,0.999676541624578
"p_pri_on_pub",0.300950413481447,0.00401213971439272,0.178362018163311,0.0329041262241683,0.154246058216654,0.285665368631517,0.424134992151603,0.682948254475487,1976.29903898306,1.00113152276606
"det_pub",0.00098305596255717,0,0,0.00098305596255717,0.00098305596255717,0.00098305596255717,0.00098305596255717,0.00098305596255717,2.00300450676012,NA
"det_eng",0.000355849997330597,0,0,0.000355849997330597,0.000355849997330597,0.000355849997330597,0.000355849997330597,0.000355849997330597,2.00300450676012,0.998999499499374
"det_pri",0.000142538433007534,3.88431458202975e-06,0.000147377397454043,4.26807127792655e-06,4.1217197638631e-05,9.74296598817511e-05,0.000188401510489863,0.000553209241569784,1439.57062336747,1.00069562824999
"txi_pub",0.000786321977493964,0,0,0.000786321977493964,0.000786321977493964,0.000786321977493964,0.000786321977493964,0.000786321977493964,2.00300450676012,0.998999499499374
"txi_eng",0.000205452257358683,9.73702761672427e-07,4.28872898284817e-05,0.000119277825947043,0.000176682412572628,0.000204334010438433,0.000233201481426087,0.000292006029227569,1940.01193626777,1.00048419090389
"txi_pri",3.25982262660673e-05,8.05038888617078e-07,2.9258141841919e-05,1.07309028838248e-06,1.05199692798541e-05,2.42979931564191e-05,4.62650220044094e-05,0.000108650799701997,1320.86904292873,1.00069688185415
"tx_pri",0.000336390936627948,3.26116224934672e-06,0.000110598668854339,0.00019089009594133,0.000261124728200444,0.000318492974248177,0.000381950150997636,0.000628176825812082,1150.15133297428,1.00024805492051
"drug_time",0.000361907708204118,3.09788417583234e-07,1.94309003188501e-05,0.000324211693484452,0.000348599471609959,0.000361840298772317,0.000375120667665625,0.000399537488026834,3934.19149469552,0.99978075286224
"p_pub",0.768661285294427,0.000442461816043791,0.0282603601660553,0.710935739228262,0.749909821846922,0.76939413203276,0.788490024087154,0.821872144217366,4079.47043314895,0.999842445575824
"p_under",0.0886146401628109,0.00202098295698998,0.0773243625568481,0.00317760101856915,0.0298648689441826,0.0678320987778944,0.123355324113871,0.292376088306612,1463.88646289262,1.00056353475253
"lp__",-8.1046065544209,0.055727688641154,1.99527878902554,-13.0370213473758,-9.15613351854052,-7.76687931940962,-6.66696120098036,-5.31189710444662,1281.93235885347,1.00137934233948
